Mole fraction ETHANOL,Temperature (K),Pressure (N/sqm),Excess enthalpy (J/kmol),,,,,,
0.0911,273.15,100000,-240989.4893,,,,,,
0.1153,273.15,100000,-313857.5597,,,,,,
0.2307,273.15,100000,-518408.3416,,,,,,
0.4516,273.15,100000,-528922.2954,,,,,,
0.6874,273.15,100000,-357368.4035,,,,,,
0.6757,273.15,100000,-369711.2369,,,,,,
0.7061,273.15,100000,-332326.5082,,,,,,
0.05,273.16,101325,-621700,,,,,,
0.05,290.4396,101325,-488300,,,,,,
0.05,347.1236,101325,-101700,,,,,,
0.1,273.16,101325,-993700,,,,,,
0.1,290.4396,101325,-781600,,,,,,
0.15,273.16,101325,-1113000,,,,,,
0.15,290.4396,101325,-871500,,,,,,
0.2,273.16,101325,-1080000,,,,,,
0.2,290.4396,101325,-854400,,,,,,
0.25,273.16,101325,-995800,,,,,,
0.25,290.4396,101325,-803300,,,,,,
0.3,273.16,101325,-918400,,,,,,
0.3,290.4396,101325,-745700,,,,,,
0.35,273.16,101325,-838500,,,,,,
0.35,290.4396,101325,-674000,,,,,,
0.4,273.16,101325,-757300,,,,,,
0.4,290.4396,101325,-602900,,,,,,
0.45,273.16,101325,-682000,,,,,,
0.45,290.4396,101325,-538100,,,,,,
0.5,273.16,101325,-615500,,,,,,
0.5,290.4396,101325,-475700,,,,,,
0.55,273.16,101325,-552700,,,,,,
0.55,290.4396,101325,-423800,,,,,,
0.6,273.16,101325,-498700,,,,,,
0.6,290.4396,101325,-376100,,,,,,
0.65,273.16,101325,-456500,,,,,,
0.65,290.4396,101325,-333500,,,,,,
0.7,273.16,101325,-411300,,,,,,
0.7,290.4396,101325,-294600,,,,,,
0.7,347.1236,101325,247300,,,,,,
0.75,273.16,101325,-364400,,,,,,
0.75,290.4396,101325,-255200,,,,,,
0.75,347.1236,101325,232200,,,,,,
0.8,273.16,101325,-314600,,,,,,
0.8,290.4396,101325,-213400,,,,,,
0.8,347.1236,101325,205000,,,,,,
0.85,273.16,101325,-255600,,,,,,
0.85,290.4396,101325,-168200,,,,,,
0.85,347.1236,101325,169900,,,,,,
0.9,273.16,101325,-190000,,,,,,
0.9,290.4396,101325,-117600,,,,,,
0.9,347.1236,101325,123000,,,,,,
0.95,273.16,101325,-112100,,,,,,
0.95,290.4396,101325,-61500,,,,,,
0.95,347.1236,101325,67400,,,,,,
0.02,290.1398,101325,-217700,,,,,,
0.042,290.1398,101325,-419000,,,,,,
0.065,290.1398,101325,-597300,,,,,,
0.089,290.1398,101325,-737300,,,,,,
0.115,290.1398,101325,-822000,,,,,,
0.144,290.1398,101325,-866000,,,,,,
